Ubicación física;Título;Autor(es)
DEGIP 1-1-1;Canaanite toponyms in ancient egyptian documents;
DEGIP: 1-1-2;A history of archaelogical thought;
DEGIP: 1-1-4;Graberfelder aus dem Ubergang vom Alten zum Mittleren Reich: studien zur archaologie der Ersten Zwischenzeit;
DEGIP: 1-1-5;<The> archaeological map of Sudan;
DEGIP: 1-1-6;<The> archaeological map of the Sudan;
DEGIP: 1-1-7;Recent excavations in Israel: studies in Iron Age archaeology;
DEGIP: 1-1-14b;<Le> Louvre:les antiquités égyptiennes;
DEGIP: 1-1-14;Avaris and Piramesse: archaeological exploration in the Eastern Nile Delta;
DEGIP: 1-1-13;Jurisdiction in the workmen's community of Deir el-Medina;
DEGIP: 1-1-12;Ancient Egyptian autobiographies chiefly of the Middle Kingdom: a study and an anthology;
DEGIP: 1-1-11;Hieroglypische inschriften des Alten Reiches;
DEGIP: 1-1-10;Mit Rahineh 1956;
DEGIP: 1-1-9;Mit Rahineh 1955;
DEGIP: 1-1-8;Beitrage zu den inschriften des Mittleren Reiches in den Grabern der Qubbet el Hawa;
DEGIP: 1-1-16;<Le> tribut dans l'Empire Perse: actes de la Table ronde de París 12-13 Décembre 1986;
DEGIP: 1-1-17;Piramides, esfinges e faraós;
DEGIP: 1-1-18;L' art égyptien au Louvre;
DEGIP: 1-1-19;Elfenbein im Alten Agypten: leihgaben aus dem Petrie-Museum London;
DEGIP: 1-1-20;Suche nach unsterblickeit: totenkult und Jenseitsglaube im Alten Agypten;
DEGIP: 1-1-21;Tabo I: statue en bronze d'un roi méroïtique Musée National de Khartoum, Inv. 24705;
DEGIP: 1-1-22;Akhenaten's Sed - festival at Karnak;
DEGIP: 1-1-23;Kerma territoire et métropole: quatre lecons au Collége de France;
DIGEP: 1-1-24;<Le> voyage d'Ounamon: index verborum, concordance, relevés grammaticaux;
DEGIP: 1-1-30;Agyptische reliefs im Kestner-Museum Hannover;
DEGIP: 1-1-25;Achaemenid history;
DEGIP: 1-1-26;Die Phonizier im Zeiltalter Homers;
DEGIP: 1-1-27;Griechische münzen;
DEGIP: 1-1-28;Glas der antike;
DEGIP: 1-1-34;<The> followers of Horus: studies dedicated to Michael Allen Hoffman, 1944-1990;
DEGIP: 1-1-35;Excavation at Malaka and the Birket Habu 1971-1974;
DEGIP: 1-1-36;<Les> obélisques égyptiens: historie et archéologie;
"DEGIP: 1-1-31a; 1-1-31b";Texte zum Amduat;
DEGIP: 1-1-31b;Texte sum Amduat;
DEGIP: 1-1-32;Resurrecting the past: a joint tribute to Adnan Bounni;
DEGIP: 1-1-33;<Les> termes de la propagande royale égyptienne de la XIXe dynastie a la conquete d'Alexandre;
DEGIP: 1-1-38;Assyrisch-babylonische zeichenliste;
DEGIP: 1-1-39;Studien zur Altagyptischen keramik;
DEGIP: 1-1-40;Minoan pottery in second millennium Egypt ;
DEGIP: 1-1-411-1-42;Atti Sesto Congresso Internazionale di EGittologia  ;
DEGIP: 1-1-43;<Les> problémes institutionnels de l'eau en Egypte ancienne et dans l'antiquité méditerranéene;
DEGIP: 1-2-2;Untersuchungen zur Göttlichkeit des regierenden Königs;
DEGIP: 1-1-3;<The> duties of the Vizier;
DEGIP: 1-2-4;<Les> palettes égyptiennes aux motifs zoomorphes et sans décoration: études de l'art prédynasqtique;
DEGIP: 2-1-4;<The> archaeology of the Nile Delta: problems and priorities;
DIGEP: 1-2-4a;Egyptian scarabs and magical gems from the collection of Constantine Schmidt-Ciazynski;
DEGIP: 1-2-5;Arbeiter und pharaonen: wirtschafts und sozialgeschichte im Alten Agypten;
"DEGIP: 1-2-6; D01";<La> ciudad a través del tiempo;
DEGIP: 1-2-6;<La> ciudad a través del tiempo;Fuscaldo, Perla
DEGIP: 1-2-7;Society and economy in the Eastern Mediterranean (c.1500-1000 B.C.);
DEGIP: 1-2-8;<The> role of the messenger and the message in the ancient Near East;
DEGIP: 1-2-9;<The> Palermo Stone and the archaic kings of Egypt;
DEGIP: 1-2-11;<Las> fuentes del Libro de Reyes;
"DEGIP: 1-2-11a; 1-2-11b";<Los> nómades en Egipto;
DEGIP: ;Studies zum Agyptischen königsdogma im Neuen Reich;
DEGIP: 1-2-13;Krisenfaktoren im Agyptischen staat des Ausgehenden Alten Reich;
DEGIP: 1-2-14;<Les> lettres d'El Amarna: correspondance diplomatique du pharaon;
DEGIP: 1-2-15;Trade in the ancient economy;
DEGIP: 1-2-16;Land tenure in the Ramesside period;
DEGIP: 1-2-17;Ceremonial execution and public rewards: some historical scenes on New Kingdom private stelae;
DEGIP: 1-2-18;Aspects of the military documents of the ancient egyptians;
DEGIP: 1-2-19;Pharaonic king-lists, annals and day-books: a contribution to the study of the Egyptian sense of history;
DEGIP: 1-2-20;<The> administration of Egypt in the Old Kingdom: the highest titles and their holders;
DEGIP:;<The> road to Kadesh: a historical interpretation of the battle reliefs of King Sety I at Karnak;
DEGIP:;<A> table of offerings: 17 years of acquisitions of Egyptian and Ancient Eastern art;
DEGIP: 1-2-24;Egypt dynasti XXII-XXV;
DEGIP: 1-2-22;<Las> religiones precolombinas;
DEGIP: 1-2-26;Egipto e Israel y el monoteísmo hebreo: a propósito del libro Moisés y la religión monoteísta de Sigmund Fred;
DEGIP: 1-2-27;Egyptian towns and cities;
DEGIP: 1-2-28;Studies in acient art and civilization 2;
DEGIP: 1-2-29;<La> poesía amatoria en el antiguo Egipto;
DEGIP: 1-2-30;Torneos de acertijos en la literatura del antiguo Egipto;
DEGIP: 1-2-31;"Jeremías y su época: la carrera de Jeremías; vocación del profeta; los oráculos críticos; los orácules juveniles";
DEGIP: 1-2-33;Heródoto en Egipto: 1. El viaje;
